Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BBJQV0 FIGI,BBG011WXCRR6 FIGI,BBG000H4FSM0 FIGI,BBG001M8HHB7 FIGI,BBG000N9MNX3 FIGI,BBG0024QY1Y6 FIGI,BBG000JW9B77 FIGI,BBG00BLYKS03 FIGI,BBG00KHY5S69 FIGI,BBG00LPWLFD4 FIGI,BBG000Q8RVM1 FIGI,BBG000BLZRJ2 FIGI,BBG000KKFC45 FIGI,BBG000BNGBW9 FIGI,BBG000BB6WG8 FIGI,BBG000D25424 FIGI,BBG00YC53854 FIGI
5/26/2023,210.24,4205.45,2298.973,1773.022,2057.013,1927.969,2073.27,74.02,136.7,70.945241,1946.46,19.37,2080.91,972.86,104.206,1112.61,113.534435,1190.011,764.84,602.51,532.82,1483.73,830.39,2909.97,479.21,223.68,210.92,326.14,51.81,138.52,1215.34,978.53,1154.07,946.66,940.29,3627.73,3231.94,2635.53,8780.81,389.46,5.17,4205.45,15.31,193.17,31.9,17.95,154.12,812.73,6.44,26.83,83.9,14298.41,4.02,72.73,5.24,12.13
5/29/2023,210.24,4205.45,2298.973,1773.022,2057.013,1927.969,2073.27,74.02,136.7,70.945241,1943.19,19.37,2086.02,971.75,104.206,1112.61,113.534435,1190.011,764.84,602.51,532.82,1483.73,830.39,2909.97,479.21,223.68,210.92,326.14,52.69,138.52,1215.34,978.53,1154.07,946.66,940.29,3627.73,3231.94,2635.53,8780.81,389.46,5.17,4205.45,15.31,193.17,31.9,17.46,154.12,812.73,6.44,26.83,83.9,14298.41,4.02,72.73,5.24,12.13
5/30/2023,210.37,4205.52,2299.402,1767.292,2060.734,1923.971,2091.41,74.34,136.34,67.811428,1959.33,18.86,2075.85,970.32,104.165,1114.51,114.307718,1199.025,756.55,596.86,532.81,1473.78,828.48,2928.21,476.37,224.29,210.77,324.86,52.95,142.66,1228.28,978.14,1152.7,946.42,941.41,3629.29,3262.17,2666.02,8780.81,401.11,4.97,4205.52,15.13,201.16,30.7,17.46,158.59,803.34,6.57,26.04,83.42,14354.99,4.02,71.43,5.01,13.25
5/31/2023,210.4,4179.83,2285.653,1749.65,2047.344,1912.706,2099.09,74.11,135.5,66.473944,1962.73,18.67,2041.81,958.53,104.326,1113.55,114.765366,1188.045,757.09,585.66,526.72,1486.29,816.88,2896.25,471.02,225.76,210.66,327.97,52.89,141.82,1214.2,979.24,1151.57,947.28,941.82,3614.48,3249.93,2585.14,8780.81,378.34,5.3,4179.83,15.56,203.93,30.5,17.94,160.13,807.96,6.28,25.97,81.76,14254.09,4.01,70.65,5.15,13.27
6/1/2023,210.42,4221.02,2308.283,1767.94,2072.276,1926.766,2103.76,74.2,136.85,68.436238,1977.61,19,2070.06,961.8,103.56,1115.02,115.065245,1202.503,756.44,592.86,532.48,1496.25,827.19,2934.83,476.86,225.83,213.08,325.4,53.52,143.23,1222.54,979.03,1151.4,948.09,942.09,3638.76,3296.37,2643.47,8780.81,397.7,5.72,4221.02,15.53,207.52,27.9,15.65,157.55,789.95,6.14,26.63,82.07,14441.51,4.05,70.55,5.28,14.48
6/2/2023,210.44,4282.37,2344.291,1830.906,2100.233,1966.039,2093.12,74.58,138.39,70.037314,1947.97,19.36,2097.69,984.36,104.015,1117.64,114.181464,1228.922,766.99,610.41,544.11,1516.22,851.69,2949.82,492.95,230.54,213.29,328.7,53.39,145.14,1221.39,980.9,1149.79,948.17,941.92,3671.72,3315.84,2638.01,8780.81,393.27,5.5,4282.37,16.24,213.97,26.1,14.6,151.32,812,6.16,27.43,84.35,14546.64,4.06,71.97,5.21,14.27
6/5/2023,210.54,4273.79,2339.222,1806.713,2097.27,1957.507,2093.29,74.52,138.12,70.437583,1961.86,19.33,2100.54,986.69,104.002,1117.15,114.244591,1233.186,764.31,606.86,541.05,1522.04,845.64,2933.3,492.46,229.34,214.52,330.17,54.11,143.62,1217.46,980.9,1149.03,947.68,943.74,3672.81,3290.11,2605.92,8780.81,391.71,5.53,4273.79,16.29,217.61,25.3,14.73,154.08,802.3,5.76,27.39,83.74,14556.5,4.04,71.27,5.26,13.11
6/6/2023,210.59,4283.85,2346.847,1855.401,2101.759,1971.883,2095.61,74.64,137.82,70.037314,1963.52,19.37,2105.72,988.49,104.125,1119.93,114.165707,1245.435,760.72,611.05,548.25,1508.67,850.74,2929.66,495.67,230.86,215.58,329.95,55,148.86,1229.21,980.1,1145.02,948.93,944.3,3660.93,3283.53,2613.51,8780.81,386.54,5.6,4283.85,16.55,221.31,23.1,13.96,153.04,790,5.84,27.99,85.86,14558.09,3.99,72.39,5.35,13.72
6/7/2023,210.62,4267.52,2338.518,1888.447,2076.623,1988.93,2084.97,74.23,136.4,70.808564,1940.02,19.51,2098.07,995.41,104.099,1120.88,113.660689,1234.143,758.22,627.22,550.06,1502.41,864.24,2882.29,501.5,234.91,211.55,335.56,55.16,149.47,1217.05,982.01,1143.71,951.4,945.69,3560.44,3266.64,2581.48,8780.81,374.75,5.55,4267.52,16.54,224.57,23.3,13.94,149.23,792.63,6.18,27.5,86.5,14303.29,4.02,73.36,5.33,13.61
6/8/2023,210.65,4293.93,2351.971,1880.779,2095.539,1990.521,2094.3,74.7,137.65,69.597994,1965.46,19.43,2106.93,994.08,103.343,1120.89,114.165707,1253.447,763.84,624.43,549.44,1512.14,865.78,2916.83,499.75,233.44,212.11,336.93,56.01,151.56,1219.76,983.31,1144.66,951.44,946.39,3590.98,3308.4,2623.53,8780.81,385.1,5.35,4293.93,16.31,234.86,22.4,13.65,151.3,804.2,5.7,27.79,86.31,14484.54,3.99,72.2,5.33,14.14
6/9/2023,210.68,4298.86,2353.535,1865.706,2099.825,1986.65,2089.92,74.72,137.98,68.504577,1961.19,19.32,2110.46,1002.33,103.557,1119.99,113.786944,1258.94,762.95,620.82,549.85,1515.05,863.48,2930.38,495.64,232.11,212.39,334.98,55.11,147.38,1223.08,982.13,1145.26,953.28,946.56,3620.13,3313.64,2631.81,8780.81,387.7,5.55,4298.86,16.51,244.4,22.5,13.83,149.53,804.62,5.75,27.82,86.21,14528.36,4,72.54,5.22,13.73
6/12/2023,210.77,4338.93,2375.676,1873.214,2129.334,1993.584,2093.76,74.64,139.69,65.526966,1957.84,18.92,2113.97,1003.14,103.654,1122.33,113.834213,1280.785,763,614.8,549.34,1522,869.48,2991.18,497.82,232.17,214.93,334.42,56.16,150.86,1238.11,983.6,1145.34,955.25,946.09,3686.25,3367.55,2711.62,8780.81,394.82,5.35,4338.93,16.76,249.83,22.8,15.01,151.11,855.36,5.78,27.75,87.44,14784.3,4.08,73.17,5.1,13.44
6/13/2023,210.81,4369.01,2393.224,1896.333,2144.299,2010.317,2084.23,74.73,140.63,67.772377,1943.74,19.28,2136.4,1013.25,103.338,1125.93,113.139813,1293.653,766.19,617.67,552.72,1530.05,879.55,3012.51,509.43,233.6,215.52,334.21,56.95,156.43,1242.54,984.38,1142.53,957.51,946.08,3709.77,3365.5,2760.46,8780.81,410.22,5.33,4369.01,16.96,258.71,22.6,14.61,153.11,851.12,6.28,28.07,88.28,14900.85,4.08,74.28,5.12,14.12
6/14/2023,210.84,4372.59,2394.22,1874.098,2150.335,2002.688,2086.57,74.76,141.78,66.649671,1942.52,19.23,2157.57,1014.91,102.948,1123.72,113.329195,1292.234,770.46,610.77,550.7,1512.91,876.99,3046.95,507.22,234.35,215.8,333.98,56.56,153.82,1253.16,984.36,1144.75,955.37,946.22,3738.98,3375.67,2835.62,8780.81,429.97,5.19,4372.59,16.69,256.79,21.7,13.88,153.96,886.18,5.96,28.45,87.98,15005.69,4.15,73.15,5.09,13.57
6/15/2023,210.88,4425.84,2423.971,1889.282,2177.151,2026.435,2098.48,75.12,143.3,68.943896,1958.01,19.75,2161.5,1023.59,102.115,1124.94,113.960468,1301.039,777.63,617.1,557.62,1536.36,890.25,3085.83,511.54,235.15,219.12,337.51,57.77,156.34,1252.34,985.41,1146.14,955.35,945.57,3839.44,3414.58,2816.2,8780.81,426.53,5.17,4425.84,16.74,255.9,22.5,14.5,159.81,883.43,6.02,29.08,89.05,15185.48,4.24,74.56,5,13.63
