Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000BBQCY0 FIGI,BBG000C0G1D1 FIGI,BBG000BBJQV0 FIGI,BBG000H4FSM0 FIGI,BBG000N9MNX3 FIGI,BBG000JW9B77 FIGI,BBG00JQ5JWB5 FIGI
5/27/2022,203.59,4158.24,2285.416,1887.896,1906.934,2078.051,2155.71,80.19,147.94,107.766092,1853.72,25.25,2035.83,1043.17,101.668,1137.93,123.855541,1200.502,777.86,669.03,590.46,1559.34,805.12,2470.27,547.81,280.2,200.75,380.97,60.71,198.8,1109.06,1007.11,1149.44,918.18,958.38,3154.55,2833.83,2036.99,10172.79,102.26,44.55,188.11,4158.24,253.21,25.72,89.84
5/30/2022,203.59,4158.24,2285.416,1887.896,1906.934,2078.051,2155.71,80.19,147.94,107.766092,1855.23,25.25,2063.2,1065.09,101.668,1137.93,123.855541,1200.502,777.86,669.03,590.46,1559.34,805.12,2470.27,547.81,280.2,200.75,380.97,61.56,198.8,1109.06,1007.11,1149.44,918.18,958.38,3154.55,2833.83,2036.99,10172.79,102.26,44.55,188.11,4158.24,253.21,26.54,89.84
5/31/2022,203.61,4132.15,2269.066,1864.043,1895.136,2060.039,2145.05,79.5,146.05,107.391482,1837.35,25.04,2037.87,1077.67,101.752,1135.47,123.197017,1209.685,772.2,658,588.47,1537.92,798.27,2452.89,539.06,276.44,201.56,375.72,61.03,193.73,1118.67,1005.62,1150.43,916.91,959.79,3127.85,2815.81,2027.4,10599.64,101.86,44.42,186.72,4132.15,252.7533,26.19,90.24
6/1/2022,203.61,4101.23,2251.766,1854.824,1880.001,2045.645,2137.59,78.9,145.64,107.944032,1846.6,25.19,2021.94,1067.86,102.498,1132.04,122.37782,1199.486,762.06,669.6,578.63,1516.03,793.32,2444.75,533.52,273.4,200.16,375.11,59.96,186.4,1118.24,1006.41,1149.2,915.87,958.98,3129.61,2813.13,1995.42,10713.8,101.22,44.11,183.2,4101.23,246.79,25.69,89.04
6/2/2022,203.61,4176.82,2296.174,1897.674,1933.809,2070.058,2140.03,79.23,146.31,109.45184,1868.58,25.68,2032.45,1061.44,101.824,1138.43,122.618778,1235.795,772.53,667.6,586.81,1527.83,808.34,2504.39,547.83,277.41,205.32,377.37,59.6,195.55,1136.8,1005.26,1146.58,918.24,955.73,3199.65,2861.89,2074.57,11051.15,108.59,44.84,195.92,4176.82,258.3333,24.72,86.8
6/3/2022,203.61,4108.54,2258.521,1883.053,1889.851,2050.427,2136.69,78.64,145.68,111.324892,1851.19,25.92,2029.06,1060.74,102.14,1136.31,122.37782,1200.563,764.48,676.93,577.81,1510.43,805.43,2442.38,542.46,273.96,200.46,375.72,60.82,192.35,1120.24,1004.28,1147.09,919.62,956.06,3147.74,2766.76,2007.92,10771.1,106.3,43.39,187.2,4108.54,234.5167,24.79,87.56
6/6/2022,203.61,4121.43,2265.698,1889.885,1897.513,2055.394,2123.35,78.05,145.82,110.978378,1841.43,25.94,2040.1,1071.33,102.437,1135.65,121.767405,1212.902,764.9,676.16,580.02,1510.38,808.67,2443.41,547.73,273.16,202.42,377.41,60.07,190.22,1124.82,1005.1,1147.28,918.83,955.87,3144.65,2778.46,2004.26,10985.04,105.65,43.34,187.86,4121.43,238.28,25.07,88.12
6/7/2022,203.62,4160.68,2288.608,1919.563,1916.043,2078.162,2129.52,78.23,148.17,111.830617,1852.37,26.13,2029.95,1061.02,102.318,1137.63,122.281395,1208.395,768.11,697.38,584.01,1530.06,819.64,2473.11,551.69,276.31,203.45,379.59,59.93,196.11,1118.87,1003.94,1146.35,919.94,955.61,3181.21,2820.4,2022.48,10829.53,105.28,43.53,189.26,4160.68,238.8867,24.02,86.68
6/8/2022,203.62,4115.77,2263.885,1891.007,1899.869,2050.201,2123.12,77.56,146.79,114.359238,1853.36,26.34,2026.78,1073.74,102.542,1138.41,121.928079,1200.18,758.71,698.43,574.06,1518.1,804.65,2445.63,540.1,269.59,203.4,372.06,61.48,196.95,1115.43,1002.03,1144.39,921.17,956.89,3155.71,2798.68,1975.07,10680.57,101.9,41.23,186.48,4115.77,241.8667,23.96,87.2
6/9/2022,203.62,4017.82,2209.489,1850.856,1850.238,2005.589,2121.7,76.94,143.2,113.797322,1847.95,26.28,1992.38,1067.15,103.223,1131.38,121.735332,1176.702,747.32,682.35,559.1,1483.32,788.81,2379,527.19,263.42,197.8,362.99,59.72,187.96,1110.77,1002.72,1147.67,917.92,958.79,3079.98,2706.52,1922.74,10245.65,98.8,40.01,180.48,4017.82,239.7067,26.09,92.52
6/10/2022,203.6,3900.86,2144.011,1800.284,1782.44,1959.668,2104.22,75.63,140.96,113.01064,1871.6,26,1934.2,1054.64,104.148,1124.68,120.594892,1127.719,744.53,670.72,538.67,1459.09,765.48,2286.44,511.12,257.1,192.17,360.2,57.81,179.09,1084.93,1001.93,1150.82,912.99,962.72,2954.6,2608.89,1848.11,9670.9,94.82,39.18,169.74,3900.86,232.23,27.75,93.32
6/13/2022,203.57,3749.63,2057.559,1714.595,1702.307,1887.267,2070.1,73.1,136.1,113.254137,1819.26,25.77,1877.83,1016.46,105.078,1116.2,119.036885,1075.199,728.27,636.32,522.78,1415.21,742.31,2184.29,491.07,244.81,183.65,343.53,54.77,164.79,1075.91,999.05,1155.82,908.62,965.57,2823.18,2514.25,1741.46,9149.75,86.99,37.77,156.47,3749.63,215.7367,34.02,103.36
6/14/2022,203.57,3735.48,2050.079,1707.829,1702.614,1873.84,2057.31,73.58,135.42,111.381084,1808.49,25.3,1847.36,1017.87,105.518,1119.11,118.185615,1072.55,718.89,636.74,517.85,1400.14,740.45,2197.85,486.95,242.34,183.13,334.65,53.36,166.08,1085.44,997.48,1156.94,912,964.17,2842.87,2526.46,1752.62,9033.02,86.99,37.93,158.36,3735.48,220.89,32.69,101.32
6/15/2022,203.58,3789.99,2080.862,1731.139,1741.399,1888.453,2079.51,75.01,135.53,107.990859,1833.82,25.25,1858.63,1020.1,105.158,1124.45,118.924424,1104.97,719.48,623.21,524.26,1414.45,747.92,2245.55,487.09,247.99,187.46,336.92,52.7,171.99,1104.91,997.93,1152.75,913.41,962.05,2908.8,2575.48,1790.48,9498.83,89.3,38.65,165.27,3789.99,233,29.62,95.88
6/16/2022,203.61,3666.77,2009.94,1649.836,1671.208,1832.131,2084.38,73.82,132.06,110.126139,1857.33,25.41,1847.03,1008.11,103.631,1118.33,119.599087,1052.382,714.75,588.41,510.78,1392.94,722.66,2153.2,469.3,241.66,180.99,330.3,52.77,162.15,1085.43,993.06,1156.09,909.63,966.18,2806.47,2474.81,1685.33,9134.58,82.05,37.34,156.01,3666.77,213.1,32.95,101.6
