Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG000C2LZP3 FIGI,BBG007GNPYY7 FIGI,BBG000B9XYV2 FIGI,BBG000BVPV84 FIGI,BBG00SSQFPK6 FIGI,BBG000C1PFY5 FIGI,BBG000BHJWG1 FIGI,BBG000PPFKQ7 FIGI,BBG000BWSGF4 FIGI,BBG00H2MPBV5 FIGI,BBG000BFT2L4 FIGI,BBG000BHLYP4 FIGI,BBG000F6ZWH2 FIGI,BBG000BHPL78 FIGI,BBG009S3NB30 FIGI,BBG000BL21Z7 FIGI,BBG01HTMDZ54 FIGI,BBG000CTSZQ6 FIGI,BBG000C0G1D1 FIGI,BBG000BW05W9 FIGI,BBG012J3H017 FIGI,BBG000R8ZVD1 FIGI,BBG000F1ZSQ2 FIGI,BBG000MM2P62 FIGI,BBG009J8K7M0 FIGI,BBG000BSWKH7 FIGI,BBG0076WG2V1 FIGI,BBG000BVPG41 FIGI,BBG0025XVR85 FIGI,BBG0160DYCH4 FIGI,BBG000BDSLD7 FIGI,BBG000CTQBF3 FIGI,BBG000R0L5J4 FIGI,BBG01BGWHFR5 FIGI,BBG0136GCJX9 FIGI,BBG000FQRVM3 FIGI,BBG000DJN7L9 FIGI,BBG011C0FS40 FIGI,BBG000F3CWW7 FIGI
4/14/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.509762,1973.71,24.06,2118.51,1117.36,100.321,1141.35,122.768668,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,34.6533,59.14,255.54,151.707,328.26,69.16,123.22,153.52,71.26,24.219,47.58,237.66,105.16,216.38,127.253,204.62,100.54,246.04,45.67,96.56,15.34,390.78,357.82,210.18,89.5,338.43,60.43,34.665,24.86,22.70885882,103.89,79.5,45.68,265.35,13.6,295.39,288.39,28.43,97.3
4/15/2022,203.47,4392.59,2424.609,2004.98,2087.792,2140.182,2154.04,80.24,159.14,97.509762,1978.24,24.06,2115.99,1112.9,100.5,1141.35,122.768668,1406.281,824.51,607.63,613.38,1615.79,845.44,2574.88,559.23,305.08,223.81,386.48,73.9,242.03,1171.91,1004.94,1124.38,925.38,950.9,3248.93,3094.04,2032.96,13350.11,34.6533,59.14,255.54,151.707,328.26,69.16,123.22,153.52,71.26,24.219,47.58,237.66,105.16,216.38,127.253,204.62,100.54,246.04,45.67,96.56,15.34,390.78,357.82,210.18,89.5,338.43,60.43,34.665,24.86,22.70885882,103.89,79.5,45.68,265.35,13.6,295.39,288.39,28.43,97.3
4/18/2022,203.47,4391.69,2421.46,1990.134,2083.473,2137.458,2147.5,80.11,159.27,98.658545,1978.91,24.45,2107.2,1106.68,100.781,1139.15,122.464759,1411.012,817.81,616.8,617.14,1597.73,842.21,2583.12,559.69,304.24,223.46,384.59,72.64,235.55,1180.23,1004.87,1126.06,923.96,951.05,3244.32,3092.34,2074.03,13437.37,34.6133,58.6,253.91,152.785,329.05,69.32,122.33,151.62,69.92,24.2399,46.86,236.24,101.16,212.9,127.961,205.68,101.6,243.46,46.64,95.43,14.71,387.56,356.8,210.77,86.93,338.69,59.8,34.5699,24.32,22.62209972,104.22,79.6,45.3,259.12,13.19,292.39,279.56,28.33,96.39
4/19/2022,203.48,4462.21,2463.146,2030.765,2128.603,2165.798,2134.49,80.04,162.29,93.507258,1950.09,23.64,2094.8,1096,100.961,1144.13,121.92102,1452.086,829.84,610.86,625.28,1612.58,857.43,2630.64,564.89,310.69,228.08,386.94,74.32,241.78,1195.36,1005.58,1124.06,924.65,949.3,3308.87,3137.76,2117.08,13899.1,35.1067,60.15,258.77,158.116,330.79,73.44,130,154.64,70.16,24.47,48.11,234.1,108.1,218.43,130.531,210.04,103.27,247.57,47.93,98.07,15.4,404.66,363.87,217.31,93.81,346.26,60.22,33.73,24.5,23.03091504,105.24,81.22,45.43,273.9,12.95,300.8,285.74,30.04,99.11
4/20/2022,203.48,4459.45,2460.211,2038.185,2109.068,2181.465,2146.14,80.29,161.9,93.680487,1957.77,23.72,2127.03,1095.63,100.39,1137.67,122.32084,1432.403,841.99,613.39,629.57,1634.24,862.09,2627.16,568.78,316.44,218.8,390.02,73.38,235.02,1173.8,1005.23,1125.75,923.43,950.63,3310.78,3145.38,2092.52,13538.28,35.9,59.99,267.59,153.998,333.22,74.01,124.64,155.46,71.06,24.5,47.4,236.2,107.51,221.41,128.246,213.42,104.28,253.22,48.11,97.59,15.3,385.4,365.29,200.42,93.75,341.21,61.36,33.65,22.55,23.15608452,106.88,80.17,45.78,265.81,12.83,313.64,286.58,29.88,98.01
4/21/2022,203.48,4393.66,2420.681,1991.462,2067.537,2152.29,2135.76,79.74,158.17,95.147253,1951.62,23.76,2126.64,1086.93,100.578,1129.53,121.553136,1414.749,841.1,594.35,619.9,1616.16,853.46,2581.78,559.25,314.44,213.52,383.81,71.26,225.53,1167.84,1004.86,1130.14,921.56,953.7,3251.25,3125.6,2023.25,13047.38,37.4933,60.64,266.75,148.296,333.46,73.97,120.65,154.47,70.68,24.62,46.94,228.37,103.62,202.95,124.938,211.07,102.37,244.9,47.5,94.72,15.25,377.25,364.44,188.07,87.35,334.15,60.53,34.49,21.03,22.92427925,106.34,78.96,45.14,253.82,12.64,307.38,299.34,29.18,95.2
4/22/2022,203.48,4271.78,2354.334,1940.665,2008.449,2096.198,2131.63,79.26,153.24,93.57048,1931.6,23.35,2081.96,1075.6,101.22,1126.86,121.745062,1381.158,827.69,579.9,601.3,1557.49,832.24,2509.65,538.4,308.86,206.48,377.35,69.78,219.05,1167.74,1004.17,1130.3,921.19,954.45,3153.92,3038.37,1976.26,12698.3,37.42,60.45,261.9,144.35,321.64,73.51,118.02,148.3,67.73,24.35,45.38,222.92,99.69,203.6,119.614,207.98,101.67,233.95,46.54,92.04,15.17,363.66,351.18,184.11,83.62,325.4,57.89,34.52,20.32,22.3543015,103.85,77.92,43.74,245.29,12.85,296.44,290.98,29.2,92.55
4/25/2022,203.49,4296.12,2369.303,1954.203,2033.772,2097.123,2142.81,79.93,154.39,90.334428,1897.83,23.08,2039.91,1046.04,101.752,1131.92,122.432823,1391.876,831.07,560.53,602.29,1567.84,832.25,2545.76,536.83,307.38,209.63,374.63,70.78,224.01,1179.91,1002.72,1129.06,921.86,953.57,3210.72,3061.43,2009.62,12851.5,36.7067,61.9,259.52,146.074,321.44,75.29,120.79,151.04,68.45,24.59,45.71,221.56,102.86,213.4,123.25,212.27,101.61,225.63,47.06,93.43,15.3,368.09,354.6,186.99,87.81,329.58,58.72,34.71,20.55,22.35457011,103.73,77.98,43.65,253.63,12.98,296.2,290.71,30.85,94.63
4/26/2022,203.5,4175.2,2301.411,1890.475,1957.531,2054.018,2152.19,79.46,148.63,93.23129,1905.51,23.43,2019.97,1049.39,102.303,1127.41,122.88065,1322.469,818.77,560.78,586.94,1538.04,814,2451.28,528.52,302.81,203,370.73,68.03,214.07,1156.9,1002.53,1131.4,919.07,955.27,3096.21,2955.22,1920.3,12278.55,33.9467,61.07,254.82,139.391,310.27,71.84,113.34,146.44,65.68,23.81,44.57,213.27,97.15,207.56,119.506,207.46,98.54,210.67,45.52,90.07,14.19,352.53,344.11,180.95,82.85,317.14,57.82,33.18,19.92,21.86436776,99.79,75.63,42.72,242.98,11.92,288.88,284.69,29.96,91.14
4/27/2022,203.5,4183.96,2305.281,1884.038,1962.878,2054.2,2144.85,79.07,148.57,93.524643,1886.1,23.6,2002.9,1043.74,102.954,1125.97,122.624749,1321.527,820.98,569.08,586.34,1536.24,816.88,2484.58,536.34,300.82,197.69,369.02,67.61,210.93,1156.57,1002.43,1133.42,917.54,953.93,3196.89,2945.58,1912.14,12166.06,32.6667,59.93,252.85,138.167,311.22,70.91,113.64,146.82,64.71,24.06,44.45,225.93,95.97,200.41,115.021,219.93,100,215.16,45.22,89.95,14.5,354.02,361.57,174.95,77.61,316.76,57.68,33.86,20.25,21.94172572,99.53,74.74,42.01,243.66,11.89,293.76,281.34,30,88.2
