Date,LD12TRUU Index,SPX Index,RIY Index,RTY Index,RAG Index,RAV Index,LBUSTRUU Index,HYG Equity,MTUM Equity,CL1 Comdty,XAU Curncy,GSG Equity,MXEA Index,MXEF Index,DXY Index,PVOLAUS Index,TY1 Comdty,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,HTUSHFHI Equity,GSCBMSAL Equity,MXCXDRN Index,PLEVERUS Index,PPROFTUS Index,PEARNVUS Index,PDIVYUS Index,S5SFTW Index,S5TECH Index,S5SSEQX Index,S15INCR Index,BBG0076WG2V1 FIGI,BBG009S3NB30 FIGI,BBG000F1ZSQ2 FIGI,BBG000BSWKH7 FIGI,BBG000BFT2L4 FIGI,BBG000BHJWG1 FIGI,BBG000BHPL78 FIGI,BBG000BL21Z7 FIGI,BBG000BWSGF4 FIGI,BBG000C0G1D1 FIGI,BBG000C1PFY5 FIGI,BBG000C2LZP3 FIGI,BBG000CTQBF3 FIGI,BBG000DJN7L9 FIGI,BBG000F3CWW7 FIGI,BBG000F6ZWH2 FIGI,BBG000FQRVM3 FIGI,BBG000PPFKQ7 FIGI,BBG000R0L5J4 FIGI,BBG000R8ZVD1 FIGI,BBG0025XVR85 FIGI,BBG007GNPYY7 FIGI,BBG000CTSZQ6 FIGI,BBG000B9XYV2 FIGI,BBG000BVPG41 FIGI,BBG000BDSLD7 FIGI,BBG00SSQFPK6 FIGI,BBG009J8K7M0 FIGI,BBG000BW05W9 FIGI,BBG011C0FS40 FIGI,BBG00H2MPBV5 FIGI,BBG012J3H017 FIGI,BBG0136GCJX9 FIGI,BBG01BGWHFR5 FIGI,BBG0160DYCH4 FIGI,BBG01HTMDZ54 FIGI,BBG000BHLYP4 FIGI,BBG000MM2P62 FIGI,BBG000BVPV84 FIGI
8/11/2023,212.57,4464.05,2445.98,1925.11,2169.75,2074.89,2061.86,74.83,144,82.07,1913.76,21.56,2129.23,997.72,102.84,1130.88,110.46,1338.53,785.16,686.84,579.89,1579.26,919.97,2944.98,520.56,234.49,224.86,327.38,58.93,162.18,1214.75,989.09,1159.55,955.79,933.32,3628.67,3306.6,2680.08,8780.81,72.97,130.17,394.98,366.24,46.03,211.23,197.31,124.6,70.78,34.89,108.22,63.08,100.99,358.01,67.75,140.68,291.66,181.9,44.94,381.13,16.64,61.01,258.39,187.11,38.87,137.65,320.8,68.26,95.26,23.66,19.66,17.4,12.74,197.66,19.39,78.76,205.77,301.64,138.41
8/14/2023,212.67,4489.72,2459.25,1920.49,2192.66,2072.81,2059.55,74.82,145.75,81.4,1907.1,21.44,2111.49,986.28,103.19,1129.27,110.28,1343.8,781.06,684.56,578.82,1584.46,920.24,2999.57,521.55,233.23,227.19,324.66,59.74,160.39,1225.81,989.57,1160.16,956.31,931.06,3669.13,3334.15,2794.47,8780.81,72.48,131.83,398.58,370.35,46.56,206.62,196.72,125.22,71.25,35.68,105.28,64.16,101.01,361.46,67.87,144.97,288.37,182.82,45.01,385.02,16.77,57.95,259.21,187.15,38.77,138.95,322.26,71.67,95.84,23.81,19.45,17.24,12.86,199.87,19.39,78.17,206.45,306.19,140.57
8/15/2023,212.7,4437.86,2430.51,1895.76,2171.36,2043.85,2055,74.58,144.9,79.9,1902,21.09,2104.94,981.8,103.21,1127.64,110.04,1325.41,773.12,667.84,568.42,1578.77,908.52,2972.16,512.97,230.74,224.89,319.17,58.85,156.23,1222.01,989.21,1162.62,955.59,930.36,3642.61,3297.19,2767.39,8780.81,70.97,130.27,394.45,366.42,47.03,203.05,193.43,124.76,70.59,34.77,104.53,63,100.04,360.7,66.74,148.27,285.47,180.85,45.11,383.18,15.77,57.6,259.09,185.65,37.94,137.69,317.55,68.33,94.82,23.24,19.28,16.87,12.61,193.13,19.2,75.92,205.17,301.95,137.67
8/16/2023,212.73,4404.33,2411.96,1871.52,2152.7,2029.19,2049.07,74.35,143.47,78.31,1891.81,20.92,2087.29,975.77,103.43,1125.61,109.84,1308.55,770.97,661.8,567.22,1566.51,903.49,2945.89,509.56,227.96,222.18,320.63,58.16,152.8,1218.86,988.32,1163.59,954.89,930.92,3618.65,3279.14,2722.31,8780.81,70.61,129.11,394.37,362.54,46.34,200.78,193.35,122.71,72.33,33.53,104,63.05,98.98,351.93,66.46,146.52,274.86,181.35,44.32,381.16,14.88,57.48,256.24,177.99,37.86,137.42,321.28,64.94,93.97,22.67,19.05,16.55,12.59,186.97,19.22,74.95,206,294.29,135.07
8/17/2023,212.76,4370.36,2391.96,1850.06,2128.01,2018.69,2047.26,74.04,141.59,79.3,1889.43,21.05,2068.98,973.86,103.57,1124.83,109.56,1287.83,763.15,669.15,564.39,1554.53,895.89,2917.48,508.63,226.26,220.87,319.56,57.46,149.77,1212.56,989.06,1163.84,955.77,929.93,3579.1,3246.51,2702.42,8780.81,69.58,130.46,392.62,358.58,46.24,195.39,190.83,121.58,71.26,32.58,102.22,60.82,96.57,341.03,66.7,144.3,273.16,178.58,43.91,376.3,14.67,56.91,251.99,176.31,37.12,134.34,319,64.39,92.46,22.32,18.5,16.06,12.58,185.34,18.95,75.54,204.03,285.09,133.98
8/18/2023,212.79,4369.71,2392.72,1859.42,2126.62,2022.54,2051.48,74.09,141.97,80.15,1889.31,21.28,2057.64,964.44,103.38,1123.85,109.92,1283.67,765.98,675.43,563.68,1554.39,896.96,2920.74,508.2,226.89,218.7,320.8,57.83,150.35,1208.16,988.58,1162.83,955.6,932.03,3577.87,3251.11,2710.47,8780.81,68.69,128.11,392.17,358.13,45.76,200.1,192.16,122.22,71.39,32.75,104.6,61.75,97.23,344.63,66.37,146.62,270,179,43.82,381.29,14.21,57.16,250.34,176.45,37.43,135.36,324.06,64.26,92.82,22.79,18.66,16.75,12.54,186.3,19.22,75.74,203.73,283.25,133.22
8/21/2023,212.88,4399.77,2408.25,1856.01,2154.41,2019.33,2041.7,74.07,143.52,79.63,1894.93,21.21,2055.35,959.79,103.3,1124.33,109.35,1298.4,761.08,671.21,563.17,1555.86,895.72,2986.82,508.31,224.9,220.46,318.89,57.75,148.16,1223.67,986.72,1163.78,956.77,931.18,3640.87,3275.05,2842.28,8780.81,69.34,128.93,393.2,363.9,45.86,196.94,191.71,122.05,71.64,33.14,108.35,61.97,96.46,349.62,66.83,147.04,267.17,177.93,43.81,384.9,13.8,57.13,248.83,175.02,37.35,136.71,323.75,64.72,93.05,21.99,18.51,16.65,12.55,184.15,18.81,75.61,202.6,289.9,134.68
8/22/2023,212.92,4387.55,2401.51,1850.84,2152.78,2009.16,2043.64,74.11,142.91,79.26,1897.48,21.15,2067.56,966.69,103.56,1124.13,109.34,1299.58,757.05,666.07,558.22,1550.13,893.9,2979.6,507.91,225.53,220.85,319.73,57.19,146.34,1225.64,986.62,1163.6,957.22,930.54,3642.96,3296.07,2793.83,8780.81,69.06,129.69,397.84,363.38,45.57,198.96,191.91,120.16,71.71,32.89,105.84,59.79,96.07,349.08,66.43,111.53,267.97,177.8,44.2,379.42,13.67,57.27,250.17,175.73,36.82,138.47,323.46,65.83,93.04,22,18.37,16.94,12.39,190.04,18.63,75.19,199.49,287.6,134.25
8/23/2023,212.95,4436.01,2428.51,1870.03,2184.17,2024.14,2062.22,74.71,144.71,78.52,1915.48,21.12,2080.42,970.2,103.42,1126.73,110.18,1310.37,761.79,664.05,563.42,1554.7,902.79,3036.8,508.83,228.83,225.05,321.18,57.82,148.3,1239.45,986.3,1163.14,956.5,930.47,3699.04,3359.99,2862.75,8780.81,69.57,133.21,401.06,369.11,45.46,200.3,196.23,121.73,72.91,33.98,105.49,61.59,95.18,350.81,67.63,111.15,271.03,182.5,44.67,377.71,14.01,57.68,252.75,177.84,37.16,140.14,325.86,67.22,94.17,22.06,18.76,16.88,12.5,191.69,18.88,77.14,200.75,294.24,135.52
8/24/2023,212.98,4376.31,2395.57,1846.28,2144.98,2006.75,2056.97,74.3,142.34,78.68,1916.91,21.15,2073.74,982.31,103.98,1122.46,109.87,1284.07,755.92,659.12,562.06,1542.82,891.79,2971.46,506.62,227.89,220.47,319.15,57.45,144.15,1228.85,987.28,1163.14,956.03,931.77,3623.57,3278.43,2805.71,8780.81,68.28,130.42,397.67,361.22,45.24,196.01,196.44,120.82,72.3,32.59,104.63,60,94.83,346.37,66.41,113.55,271.17,182.51,43.85,360.22,13.57,57.13,252.96,177.15,36.75,135.58,327.03,65.71,92.79,21.85,18.45,16.61,12.36,184.02,19.15,76.84,200.11,286.75,131.84
